" Signups Referrals
(Thank you!!!)"," Casinos New Websites"," Daily Bonuses ","
Notes 
Welcome to the Ultimate Guide to Sweepstake Website / Daily Login Profits!

Patch Notes:
[3/24/2026]
Moved Crashduel down to Trash Tier due to almost impossible SC redemption requirements.

[3/18/2026]
Added multiple new websites to the list!
• CrashDuel
• SweetSweeps
• BangCoins
• BankRolla
• MegaSpinz
• Zonko
• LuckLake
• Sweepico
• EpicSweep
• SweepJungle

[3/18/2026]
Moved old 'New Casinos' down to their respective tiers. Total of $1506.30 you can collect every month from
 just Daily Collecting from all of these sites!
$50.21 a Day x 30 Days in a month = $1506.30"," Welcome Package Offers 
Join us on our Ultimate Sidehustle Discord!
• Free Money Links
• Free Giveaways
• Promotions Posting
• Other Automated Sidehustles
Join Crossroads - Sidehustle Wiki

Jupiter Post Letterwriting
Make $5 for every $2 Spent in our New Letter Writing Server! 
We will send in letters for you so you can earn credits on Sweepstake websites that convert into real money!
https://discord.gg/Zncaeuad8K

Monthly Income Spreadsheet
Check out other income opportunities and how you can have multiple streams of sidehustle income that ranges from $5000 to $10000 a month!
Monthly Income for all Sidehustles Grand Total of $8532 available SC
to collect from all of these
Welcome Offers in your First Month!"," Minimum Redemption "," Gravity BJ Basic Blackjack
Strategy
| 99.5% RTP |
"," Auto Roulette  Auto Roulette
 (1-18 and Red)
| 97.4% RTP |
"," Epic Joker Epic Joker
| 97% RTP |
","Mummy's Gold Mummy's Gold
| 96.96% RTP |"," The Great Pigsby The Great Pigsby
| 96.55% RTP |
","Kraken's Hunger Kraken's Hunger
| 94.2% RTP |
","Other RTP Games "," Daily Links "," Rules "," Parent Company "," Canada Eligibility ","Restricted States "
"Signup","Stake.us","$1.00'","25 FREE DOLLARS SIGNUP IF YOU SIGN UP USING MY LINK!
Stake will email you after a few days giving you that free bonus!

No playthrough requirement. Crypto only. Some users have reported being able to use credit
cards for purchases. 

If deciding to use Stake other than dailies it might be worth it to grind out the Bronze VIP. 
It unlocks Weekly Bonus and Monthly Bonuses!

The more VIP levels you grind out the better your Weekly Bonus and Monthly Bonuses
become, it's also easier to grind out because Bronze allows 'Rakeback' 
which gives you a portion of your betted money back.

Grind VIP Strategy: Play Dice and choose your Roll Over to be '2' and WIn Chance 
should be 98%.
Do autoplay to go through 10,000 wager of SC (mathematically that should be $200) and you 
will hit your first level VIP.
This is good if you're going to use Stake Long term and not just claim their Daily dollar but actually
use it on their site. This will provide Rakeback and weekly and monthly bonuses to be unlocked.
The higher VIP you grind to the more you will earn from these rewards.

Video Guide on VIP Strategy: https://www.youtube.com/watch?v=xJkqqJnglVM&t=1s","25 Free SC","$50","","","","","","","No Playthrough Requirement","Daily Rewards","Rules","Sweepsteaks Limited","","Connecticut, Delaware, Idaho, Kentucky, Michigan, Nevada, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Washington, West Virginia, Maryland"
"Signup","WOW Vegas","$0.10

Daily is now locked
to be limited under
purchasing packages.

Purchase a package
to get access to 
Daily for a week

$1-$2 SC Forms
posted Daily on #Giveaways
Channel on Discord!","WowVegas is a shell of it's former self, no more Happy Hours, Daily SC completely downgraded, fees with purchases, just completely terrible. 
They now offer ""Flash Sales' and 'MegaWheels' which will net you around 1%-5% extra SC, so just not worth it.
WowVegas is worth it if you're a new player and you want to collect your Welcome Package, collect the Welcome Package and follow the guide down below. 
If you don't want to collect Free SC from the forms you can easily purchase a Megawheel to hit the minimum redemption and quickly get your money out.
WowVegas is no longer worth for players that are consistently trying to grind SC. 

What is worth on it:

One of the only things that remain constant for this platform is the fact that you can get your Free $1-$2 through the forms they send out on their social medias.
You can farm these everyday and after awhile you can redeem these for free money.
One of the best ways of doing this is by joining the Crossroads Discord and getting the #giveaways role in our Get Your Roles Channel!
These are pinged whenever they come out and you will be pinged when the Free SC forms and any other Free SC comes out.

What I do to claim this money, I wait till around 30SC-40SC and purchase a Megawheel, the Megawheels are arguably very bad but they have a small RTP you can earn to them, you can expect from 1% to 5%,
this will allow you to get over the Minimum Redemption amount in combination with your Free SC you have claimed, you'll usually have around 130SC after this.

Then playythrough with the recommended games on this sheet and then redeem your monthly allowance of Free Money from WowVegas.

RTP should be around 96%-97% after your playthrough but in reality it will be around 125%-130% in addition to your Free SC. ","$10 for 30SC (300%)","$100","","","","","","","","Daily Rewards","Rules","MW Services","","Connecticut, Idaho, Michigan, Montana, Nevada, Washington"
"Signup","Crown Coins","$0.05 - $1.50'","Dailies increase with VIP level. GC play increases VIP level. Bronze is achievable with a
few months worth of GC collected (and adds a $5 monthly bonus) 
(Really good packages to purchase and free SC always available daily from challenges)","Choice of
$15.99 for 40SC (150%)
$23.99 for 65SC (170%)","$50","","","","","","","Rocketton, Minimum Bet 1.01x, Magic Dice Above 2, Minimum Bet
Turbo Mines, Minimum Bet (Choose 1 Corner and Autoplay)
Fruity Girl","Daily Rewards","Rules","Sunflower Limited","","Idaho, Louisiana, Michigan, Montana, Nevada, and Washington"
"Signup","Realprize","$0.30
+ Giveaway
 1SC Links
 on Discord!","Multiple free bonuses you can claim on their Social Medias that I post on the Crossroads Discord!
Can farm VIP with GC

[Eligible for SweepsEdge, check out the tab down below!]","$35 for 70SC (200%)","$100","","","","","","","(Some games are restricted by VIP levels)
(No auto on Roulette)","Daily Rewards","Rules","RealPlay Tech Inc","","Arkansas,Georgia,Hawaii,Idaho,Kentucky,Michigan,Mississippi,Nebraska,Nevada,New York,North Dakota,Tennessee,Vermont,Washington"
"Signup","Lonestar","$0.30'
+
Free $1 Links
Posted Almost
 Daily
On Discord","Multiple free bonuses you can claim on their Social Medias that I post on the Crossroads Discord!

RealPrize Sister Site, still extremely new but related to Real Prize!

If you can't get past phone number verification wait a few hours then try again. 

[Eligible for SweepsEdge, check out the tab down below!]","$20 for 40SC (200%)","$100","","","","","","","","Daily Rewards","Rules","RealPlay Tech Inc","","Idaho, Michigan, Montana, Nevada, Washington"
"Signup","LuckyLandCasino","$0.20 - $1.00'

(Changes to $1 after 27 days of collecting)","2 Welcome Bonus SC on Signup 

New site by LuckyLandCasino!
You can transfer your information from LuckyLandCasino to this new site. 
This site basically is LuckyLandSlots except also with Live Casino games which is excellent.
$50 Minimun Redemption","","$50","","","","","","","","Daily Rewards","Rules","VGW Games Limited","","Connecticut, Delaware, Idaho, Louisiana, Michigan, Mississippi, Montana, Nevada, New Jersey, New York, Washington, West Virginia"
"Signup","LuckyLandSlots","$0.30 - $1.00'","$1/day after 7 day streak. 
Really good Happy Hours called Quacky Hour 50% bonuses 1 to 2 times a week.
VIP 'Diamond Duck' system, rewards incremental packages of SC for .99 cents after achieving VIP Status.
Recommend to hit Yellow Duck every month if you have GC available (Free $80 a month)
You can grind out VIP on Luckyland by playing games to grind out your Gold Coins.
You can collect coins in multiple ways, you get some every 4 hours by collecting your Daily Login, you can also collect by purchasing packages. 
The more you play games the higher your Luckyland player level will climb as well and you will get more coins from your Daily Login.

For example I get around 15000GC every 4 hours per Daily Collect.

-----------------------------------------------
With the below strategy you can earn a free $80 a month!
Personally I will buy the $499.99 pack and this gives you 4,500,000 gold coins. 
You can then wash the SC you get playing Blackjack and typically average around 97% RTP.

With the gold coins you can play Luckyland 7's or Starspell Burst mode.

Luckyland 7's allow you to do 250GC spins and it relatively has a safe RTP but will take you a long time to grind out your VIP Tier.

ETA of Vip
Blue Duck: 16-18 Hours of Constant Spinning
Yellow Duck: 90-92 Hours of Constant Spinning

Starspell Burst mode is way more volatile but in the long run it also has a consistently safe RTP. 
This will speed up your VIP Tier process but it can also shred through your Gold Coins if you get unlucky with your spins.

ETA of Vip
Blue Duck: 6-8 Hours of Constant Spinning
Yellow Duck: 30-34 Hours of Constant Spinning

I'll also link my guides down below:

Guide to Luckyland VIP: https://onlinesidehustles.info/guide-luckyland-vip
Guide to Quacky Hours: https://onlinesidehustles.info/guide-to-quacky-hours","","$50","","","","","","","Luckyland 7's Minimum Bet, StarSpell Minimum Bet","Daily Rewards","Rules","VGW","","Connecticut, Idaho, Washington, Nevada, Michigan, Delaware, Montana, Mississippi"
"Signup","ScarletSands","$0.25 - $0.50
+
Day 7 Free Spins
+ 
Scarlet Wheel
$1.00 - $10.00
or
Gold Coins
+
Desert Dice
Chance for SC","Really good triple daily!

• Dailies include 1-7 Day Streak Calendar, Day 7 gives you Free Spins (Daily)
• Scarlet Wheel $1.00 to $10.00 or Gold Coins (Available every 12 Hours)
• Desert Dice (Available every 3 Hours)","$9.99 for 20SC (200%)","$100","","","","","","","","Daily Rewards","Rules","UTech Solutions","","Connecticut, Delaware, Idaho, Louisiana, Michigan, Montana, Nevada, New Jersey, New York, Rhode Island, Washington, West Virginia, Wyoming"
"Signup","GoldTreasureCasino","1 SC Daily
on Average
 + Day 7 Wheel
 ($0.50 to $50)","[3X Playthrough Required]
3 Welcome Bonus SC on Signup
Random Package Deals on this Website, easy 15% packages, check Daily!
[Daily Bonus Capped once you hit 50SC, once Redeemed should be able to start 
collecting Daily Bonus Again]","","$100","","","","","","","","Daily Rewards","Rules","Miracle Studio Inc","","Georgia, Hawaii, Idaho, Michigan, Mississippi, Nebraska, Nevada, New York, North Dakota, Ohio, Tennessee, Vermont, Washington, Wyoming"
"Signup","McLuck","$0.20 - $2.00'","If you're interested in VIP Transfer I have a video made on the FAQ page (Pulsz VIP to McLuck)
VIP transfer available (if you have VIP on another site, they'll give you $50 + VIP)

If you don't see SC, activate it here: https://www.mcluck.com/sc

[Eligible for SweepsEdge, check out the tab down below!]","Incremental Purchases
1st: $10 for 25SC (250%)
2nd: $20 for 40SC (200%)
3rd: $75 for 100SC (133%)","$75","","","","","","","","Daily Rewards","Rules","B2","","Alabama, Delaware, Georgia, Idaho, Kentucky, Louisiana, Maryland, Michigan, Montana, Nevada, New Jersey, New York, Ohio, Washington, West Virginia"
"Signup","MyPrize","Streak Calendar
$0.20 to $2.00","Weird Playthrough requirements on most games. https://imgur.com/a/crpju1Y
This site has a 'VIP Fast Track' which will allow you to VIP transfer from another site to
this site. Will check in on this because could be really good!
This website has been posted a good amount on the Discord and has consistent promotions
that you can find in our #Promotions Channel!
$1 Dollar Instant Redemption!

Must Select Individual SC Packages to Complete Playthrough on, 
You can find this under -
Store ➡ View Playthrough Requirements ➡ Select Package","$34.99 for 65SC (146%) and
$89.99 for 120SC (120%)","$100","","","","","","","StarSpell, Minimum Bet

[Weird Playthrough Requirements, check IMGUR link in Notes]
[Play games below 96.5% RTP because of Playthrough requirements, the higher RTP the higher playthrough you must do.
96.5% is 1:1 playthrough rate]

Must Select Individual SC Packages to Complete Playthrough on, 
You can find this under -
Store ➡ View Playthrough Requirements ➡ Select Package","Daily Rewards","Rules","My Technology Inc","","Hawaii, Idaho, Louisiana, Michigan, Montana, Nevada, New York, Washington"
"Signup","Moozi","$0.30 + 
Holiday Logins","Sometimes offers double daily login bonuses for Holidays.
Really good multi-packages to purchase, seems to be new packages atleast once a month.
Grind VIP with SC, for really good bonus packages on level up. (Tested Silver Level Up)","","$100","","","","","","","Crash Rising or XCrash (Adrenaline Rush), Minimum Bet, 1.01x Cashout","Daily Rewards","Rules","Moshy Gaming","","Washington, Nevada, Idaho, and Michigan"
"Signup","LuckyBitsVegas","$0.20'
(First 30 Days
It Will be $1.00)","Entirely Crypto Website
Welcome Bonus is 3x Playthrough Requirement
Hi5 Sister Website","","$95","","","","","","","","Daily Rewards","Rules","LBV Social LLC","","Arizona, Connecticut, Delaware, Idaho, Kentucky, Louisiana, Maryland, Michigan, Montana, Nevada, New Jersey, New York, Pennsylvania, Rhode Island, Washington, West Virginia"
"Signup","PulszBingo","Daily Wheel
$0.20 - $1.00'","Sister website to Pulsz, pretty similiar with a few bonuses. Daily wheel spin. 
Additional free play via the game ""Route 66"" Bingo, can enter for free every 30 mins for a chance
to win $3.","$40 for 80SC (200%)","$100","","","","","","","Triple Plinko, low risk, minimum bet (Would recommend using auto-clicker)","Daily Rewards","Rules","Yellow Social","","Alabama, Connecticut, Idaho, Louisiana, Michigan, Mississippi, Montana, Nevada, New York, Tennessee, Washington, Arizona, West Virginia, Mississippi "
"Signup","Pulsz","$0.30","Lookout for Deals, some Packages won't expire and you can spam these. 
For example a package could be $149.99 for $199.99 and you can buy this unlimited times.
These happen rarely but it's worth to check this site consistentally so you don't miss one of these
opportunities.
If you don't see SC, activate here: https://pulsz.com/activate-sc","$10 for 25SC (250%)","$100","","","","","","","Triple Plinko, low risk, minimum bet (Would recommend using auto-clicker)","Daily Rewards","Rules","Yellow Social","","Idaho,Michigan,Montana,Nevada,Washington, Arizona, Mississippi "
"Signup","Sportzino","$1.00 - $2.00'","","$5 for 15SC (300%)","$50","","","","","","","Plinkoman, Minimum Bet, Golden Joker, Minimum Bet","Daily Rewards
(Coin Store)","Rules","Blazesoft","","Georgia, Idaho, Michigan, Nevada, New York, Washington"
"Signup","Zula","$1.00'","","Choice of
$300 for 600SC (200%)
$150 for 300SC (200%)
","$50","","","","","","","Plinkoman, Minimum Bet, Joker's Jewel Wild, Minimum Bet","Daily Rewards
(Coin Store)","Rules","Blazesoft","","Idaho, Michigan, Nevada, Washington, New York"
"Signup","YayCasino .com","$1.00'","","$10 for 20SC (200%)","$50","","","","","","","Joker's Jewel Wild, Minimum Bet","Daily Rewards","Rules","Blazesoft","","Idaho, Michigan, New York, Nevada, Kentucky, Vermont, and Washington"
"Signup","SpinSaga","$1.00'","Daily available after purchase! 
Limited to 50SC Redemptions to Skrill at a time
(Only Skrill and Gifts Cards available at time of writing).","$26 for 50SC (192%)","$100","","","","","","","Epic Joker was removed, unsure on what is best RTP game for this site.","Daily Rewards","Rules","SpinSaga Inc","","Idaho, Michigan, Montana, Nebraska, Nevada, North Dakota, and Washington"
"Signup","Rolla","$0.20'
(First 30 Days
It Will be $1.00)","1 Welcome Bonus SC on Signup
New Daily $0.20 Got Added to Site
[WowVegas Sister Site!]","$9.99 for 29.99SC (167%)","$100","","","","","","","Mummy's Gold was removed, unsure on what is best RTP game for this site.","Daily Rewards","Rules","MW Services","","Connecticut, Idaho, Michigan, Montana, Nevada, New York, Washington"
"Signup","Casino.Click","Daily Wheel
$0.00 to $5.00'
Or Free Spins
Or Gold Coins","Switched their Free Spins to a wheel that has a chance to give you free spins 
or SC which is overall a nerf. 
Free Spins as reward. To keep free spins you must purchase welcome offer.
Can cash out in most common Cryptos.","$10 for 25SC (250%)","$100","","","","","","","Plinko, Minimum Bet, (Gravity Plinko does not count towards playthrough)
(Epic Joker and Table Games do not count
towards playthrough)
Check your playthrough progress while doing games, they seem to switch what counts towards playthrough often.","Daily Rewards","Rules","Casino Click","","Idaho, Michigan, Nevada, Kentucky, Washington"
"Signup","NioPlay","$0.30'
every 6 Hours","3 Welcome Bonus SC on Signup
Welcome Bonus is completely useless due to you having to play your balance to 0 for any other packages to apply to your account.
This is pretty bad for any package churning and may be a site you just collect your Dailies on.","50% Bonus Match after Signup","$75","","","","","","","","Daily Rewards","Rules","Nio Consolidated LLC","","Idaho, Louisiana, Michigan, Montana, Nevada, Washington, New York, Connecticut, Maryland"
"Signup","Global Poker","$0.25 - $1.00'","","","$50","","","","","","","","Daily Rewards
(Get Coins)","Rules","VGW","","Connecticut, Idaho, Michigan, Montana, Nevada, Delaware, Washington, Mississippi "
"Signup","Stackr","$0.20' Daily
+
Daily Wheel
$0.10 to $2.00
or Gold coins","Daily SC + SC Wheel.
Can watch ads for more Daily SC.
Overall a good site.","Choice of
$4.99 for 12.5SC (150%)
$10 for 25SC (150%)
$14.99 for 37.5SC (150%)
$24.99 for 62.55SC (150%)","$100","","","","","","","Plinko (Dare2Win), Low Risk, 8 Lines, Minimum Bet","Daily Rewards","Rules","Stackr Social LLC","","Arizona, California, Colorado, Connecticut, Delaware, Florida, Hawaii, Illinois, Indiana, Kansas, Maine, Maryland, Minnesota, Montana, New Jersey
North Carolina, Oregon, Rhode Island, South Dakota, Virginia, Wisconsin, Wyoming"
"Signup","SpinDoo","$0.10 - $2.00
Wheel","Launched October 2025

2 Welcome Bonus SC on Signup + Free Spins
Nice Welcome Packages and $75 Minimum  Redemption
Not alot of typical High RTP Game options","$9.99 for 22SC + 11 Free Spins + Mega Wheel (120%)
or
$79.99 for 102SC + 22 Free Spins + VIP Wheel (27.5%)","$75","","","","","","","Snoop Dogg Dollars, Diamond Explosion Patriot","Daily Rewards","Rules","PMSG Media Limited","","Alabama, Connecticut, Delaware, Georgia, Idaho, Kentucky, Louisiana, Maryland, Michigan, Montana, Nevada, New Jersey, New York, Washington, West Virginia"
"Signup","SpinPals","$0.20 to $1.00'","Free 13 SC when you verify your account
Offers generous rewards on packages","$10 for 25SC (250%)
(Some reported not getting any deals)","$100","","","","","","","Speed Crash, Minimum Bet, 1.1x Cashout or Plinko Dare2Win, Minimum Bet","Daily Rewards","Rules","SpinPals LLC","","Alabama, Connecticut, Idaho, Louisiana, Michigan, Montana, Nevada, Washington"
"Signup","GoldRushCity","$0.20 - $1.00","5 Welcome Bonus SC on Signup
Claim your 5SC at this link after signup -> https://www.goldrushcity.com/rewards
Redemption was at $5 but now they changd it to $100.
$1 = 100SC on this site","$7.98 for 16SC (100%)
$9.98 for 20SC (100%)
$19.98 for 40SC (100%)
$49.98 for 100SC (100%)","$100","","","","","","","","Daily Rewards","Rules","Play City Group LLC","","Idaho, Kentucky, Massachusetts, Michigan, Nevada, New Jersey, and Washington"
"","High Tier","","","","","Basic Blackjack
Strategy
| 99.5% RTP |
"," Auto Roulette
 (1-18 and Red)
| 97.4% RTP |
","Epic Joker
| 97% RTP |
","Mummy's Gold
| 96.96% RTP |","The Great Pigsby
| 96.55% RTP |
","Kraken's Hunger
| 94.2% RTP |
","","","","","",""
"Signup","Sixty6","Daily Wheel
$0.10' to $5.00
or Gold Coins
+
Daily Refill
(On left of Screen)
$0.10 + Bonus
 Free Spins","[Moved from God Tier to High Tier due to Daily SC nerfs and Redemption Problems]

[Must purchase 1 package at minimum to be able to redeem!]

[It seems like Sixty6 has fixed this issue down below, but please still excercise caution!]

If your redemption gets canceled for whatever reason, Sixty6 will not return your money and claim it's due to their terms and conditions.
This obviously should not be a thing and no other website does this, they typically will say redemptions are canceled because they need more information on you, which they don't initially explain and just cancel your redemption.
If this happens you can message their email or you can message them in their chat bot to try to get a real person.
Alot of people have been able to get their money back but it's ridiculous they are even attempting this.

Support Email: support@sixty6.com","$19.99 for 40SC (200%)","$100","","","","","","","Plinko Dare2Win, Low Risk, 16 Rows, Minimum Bet, Snoop's High Roller, Joker's Queen (Chance x2 Option for Higher RTP on Joker's Queen)","Daily Rewards","Rules","Kinetix Ventures LLC","","Connecticut, Delaware, Idaho, Kentucky, Maryland, Michigan, Montana, Nevada, New York, Washington, West Virginia, Mississippi, Arizona"
"Signup","Legendz","$1.50'

(Goes away after 10 days)
","Nice daily reward and really good welcome bonuses.
Daily goes away after 10 days, if you're into purchasing packages it may be worth to keep
purchasing packages (can be as small as $5) to keep the daily going. Doing playthroughs 
with Roulette or Plinko can have an RTP of 95% meaning you will be profitable in Daily
collection and the packages you purchase.

Daily seems to reset after Package purchase!","10% off first purchase!","$100","","","","","","","Plinko, Low Risk, 16 Rows, Minimum Bet","Daily Rewards","Rules","Platinum Panther LTD","","Connecticut, Kentucky, Idaho, Michigan, Montana, Nebraska, North Dakota, Ohio, Washington, New York, West Virginia, Tennessee, Nevada"
"Signup","American Luck","$0.30 to $1.50
Progress Daily","Decent Daily","$4.99 for 15SC (300%)","$100","","","","","","","Plinko","Daily Rewards","Rules","Munyon Canyon","","Connecticut, Delaware, Idaho, Louisiana, Michigan, Montana, Nevada, New Jersey, New York, Washington"
"Signup

Use code
CQOUO
(Appreciate
 it!)","RubySweeps","$0.10 - $1.00","Wheel got reverted back to it's original SC amounts making this higher on the list!
Make sure to get your 100% matches on Tuesday and Friday with JULBONUS code.
(Sub month in code)
[Moved lower down to High Tier due to Wheel Nerf]","100% Matches with code JUNBONUS
(Should be available Tuesdays and Fridays)
(Sub month in code)","$50","","","","","","","(Some games are restricted by VIP levels)
Aces High, Minimum bet, Ruby Speedway, Minimum Bet, Harvest Spins, Minimum Bet","Daily Rewards
(Daily Spin)","Rules","Rubystone Ventures LLC","","Connecticut, Delaware, Idaho, Michigan, Nebraska, Kentucky, Ohio, Rhode Island, Utah, and Washington"
"Signup","RichSweeps","$0.10 - $20.00'
Daily Wheel","1 Welcome Bonus SC on Signup
SpeedSweeps Sister Website
For Welcome Offers they limit you on purchasing so you have to gamble your 
way to the Minimum Redemption instead of just buying another pack to get there.
Avoid if trying to churn for Welcome Offers. 

Interesting Daily Package Boost
 - Monday 10% SC Boost
 - Wednesday 15% SC Boost
 - Friday 20% SC Boost
Discounted Packages Picture Link
 
Coinback Thursdays
 - Thursday 15% Coinback from Weekly Play (Don't have to play on Thursday
 it's just rewarded on Thursday)

Request a Bonus - Free SC and Discounted Packages
Apparentally if you lose on your package you can ""Request a bonus"" from support.
It says this in their description ""🎁 Made a purchase today but luck wasn’t on your side?
Just reach out and say, “I was unlucky and want a bonus.”"".
Interesting mechanic, wonder how much Support will give to you.
Can also apparentally ask for Discounted packages too.

Request VIP
 - You can request for VIP through Telegram to level up Referral Bonus and Coinback Bonus.
 - Will also earn SC Bonuses on VIP level up determining on level. 
VIP Breakdown Picture Link

Could be a really good site especially with the packages you can grind out, will be focusing on this
site for more information and grinding potential and figuring out their VIP program.","Choice of
$9.99 for 30SC (200%)
$24.99 for 50SC (100%)
$49.99 for 65SC (30%)
","$100","","","","","","","Plinko, Low Risk, 16 Rows, Minimum Bet","Daily Rewards
(Daily Spin Wheel is on Top)
","Rules","WW Funcrafters JWA LLC","","Connecticut, Delaware, Hawaii, Idaho, Louisiana, Michigan, Montana, Nevada, New York, Washington"
"Signup","Golden Hearts Games","$0.20 - $1.00","","","$100","","","","","","","Go Bananza, Minimum Bet, Da Vinci, Minimum Bet","Daily Rewards","Rules","Golden Hearts","","Washington, Idaho, Nevada & Michigan"
